"Data Year","ID","Property Name","Address","ZIP Code","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2016","251947","BSLC","924 E. 57th St.","60637","HYDE PARK","Laboratory","175,729","1993","1",,"30,078,895.4",,"68,260,979.5",,,"559.6","1,004.8","542.8","981.7","10,076.6","57.3","41.79195215","-87.60279582","POINT (-87.60279582 41.79195215)"
"2016","137570","EuroFurniture","2145 W Grand Ave","60612","WEST TOWN","Retail Store","68,000","1886","1",,"590,708.3","2,391,078.3",,,,"43.8","64.2","48.6","68.9","235.9","3.5","41.89052803","-87.68112699","POINT (-87.68112699 41.89052803)"
"2016","251870","Portage Park-CPS","5330 W BERTEAU AVE","60641","PORTAGE PARK","K-12 School","145,775","1915","1","92","2,759,699.3","2,445,138",,,,"35.7","77.1","37.6","79","638.5","4.4","41.9573784","-87.76098004","POINT (-87.76098004 41.9573784)"
"2016","124236","830 North Michigan","830 N Michigan","60611","NEAR NORTH SIDE","Enclosed Mall","126,000","1966","1",,"16,199,442.4",,,,,"128.6","403.7","128.6","403.7","2,985.9","23.7","41.89783892","-87.62465018","POINT (-87.62465018 41.89783892)"
"2016","102766","Brandon Shores Condo Association","6150 N Kenmore","60660","EDGEWATER","Multifamily Housing","54,000","1962","1","30","1,356,273.8","4,962,500.3",,,,"117","175.4","127.2","186","513.6","9.5","41.99090057","-87.66660744","POINT (-87.66660744 41.99090057)"
"2016","254151","Astor Villa Condominium Association","1430 N Astor","60610","Near North Side","Multifamily Housing","111,150","1976","1","58","4,303,105.2","1,590,309.6",,,,"53","136.6","56.6","147","877.6","7.9","41.9086825","-87.62773","POINT (-87.62773 41.9086825)"
"2016","251919","223 West Erie","223 West Erie Street","60654","NEAR NORTH SIDE","Office","70,000","1890","1","75","3,488,374.2","2,256,693.1",,,,"82.1","190.3","85.8","192","762.8","10.9","41.89374466","-87.63530787","POINT (-87.63530787 41.89374466)"
"2016","103682","4624 S Ellis - 2017 Resubmit","4624 S. Ellis","60653","KENWOOD","Multifamily Housing","100,332","1955","1","100","2,356,920.9",,,,,"23.5","73.8","23.5","73.8","435.8","4.3","41.82021138","-87.61246867","POINT (-87.61246867 41.82021138)"
"2016","159567","2625 North Clark","2625 N Clark St","60614","LINCOLN PARK","Multifamily Housing","136,465","1983","1","75","5,054,847.3","79,720.2",,,,"37.6","116.9","37.7","117","935.9","6.9","41.93060346","-87.64287601","POINT (-87.64287601 41.93060346)"
"2016","160262","Dearborn Homes","2960 S. FEDERAL STREET","60616","DOUGLAS","Multifamily Housing","706,989","1950","16","23","23,251,531.2","56,646,527.3",,,,"113","187.4","117.5","190.7","7,294.5","10.3","41.84018052","-87.62932246","POINT (-87.62932246 41.84018052)"
"2016","240752","200 N. Dearborn CA","200 N. Dearborn Street","60601","LOOP","Multifamily Housing","359,953","1989","1","18","11,609,251.5","23,388,658.9",,,,"97.2","169.5","102.3","173","3,382.1","9.4","41.88603988","-87.62982289","POINT (-87.62982289 41.88603988)"
"2016","254359","Jarla, LLC","1825 W. Webster Ave.","60614","Logan Square","Other - Recreation","50,297","2014","1",,"2,511,197.9","2,897,116.4",,,,"107.5","217.3","111.3","220.2","616.7","12.3","41.92705943","-87.64632891","POINT (-87.64632891 41.92705943)"
"2016","127068","Halsted Plaza","801- 831 W. 119th St.","60643","WEST PULLMAN","Strip Mall","59,847","1964","1",,"1,830,473.2","1,002,812.4",,,,"47.3","113.6","49.4","114.4","390.7","6.5","41.67776705","-87.64341842","POINT (-87.64341842 41.67776705)"
"2016","102455","Harper Center (Booth School)","5807 South Woodlawn Ave.","60637","HYDE PARK","College/University","419,312","2004","1",,"22,454,136.6","741,380","24,038,049.6",,,"112.6","239","113.8","238.3","5,774.2","13.8","41.7891404","-87.59555249","POINT (-87.59555249 41.7891404)"
"2016","105070","1548 W Juneway Terrace","1548 W. Juneway Terrace","60626","ROGERS PARK","Multifamily Housing","58,791","1940","1","81","629,251.3","4,193,980.2",,,,"82","108.5","87.3","114.1","338.7","5.8","42.01036185","-87.66829765","POINT (-87.66829765 42.01036185)"
"2016","244449","30 East Huron Condominium Association","30 E Huron","60611","NEAR NORTH SIDE","Multifamily Housing","486,568","1980","1","3","26,473,963.9","17,543,114.7",,,,"90.5","208.7","97.1","224.1","5,811.5","11.9","41.89549188","-87.62634029","POINT (-87.62634029 41.89549188)"
"2016","251639","Kilmer Eleme-CPS","6700 N Greenview Ave","60616","ROGERS PARK","K-12 School","106,366","1930","1","83","2,603,647.7","2,050,490",,,,"43.8","97.1","46.5","100","588.8","5.5","42.00367107","-87.6681389","POINT (-87.6681389 42.00367107)"
"2016","103970","424 West Oakdale Avenue","424 W. Oakdale Ave.","60657","LAKE VIEW","Multifamily Housing","52,080","1970","1","86","612,723.5","2,932,718.2",,,,"68.1","96.1","74.3","102.6","268.7","5.2","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2016","114866","Barclay Condominium Home Owners' Association, Inc","4940 S. East End Ave.","60615","KENWOOD","Multifamily Housing","146,840","1928","1","77","1,586,317.3","10,574,161",,,,"82.8","109.5","92","118.3","854","5.8","41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2016","250015","Hamilton Park","513 West 72nd Street","60621","ENGLEWOOD","Other - Recreation","54,758","1905","1",,"936,186.3","19,940,804",,,,"381.3","436.1","429.8","487","1,231.7","22.5","41.76303922","-87.63901962","POINT (-87.63901962 41.76303922)"
"2016","251608","Gunsaulus Sc-CPS","4418 S Sacramento","60632","BRIGHTON PARK","K-12 School","106,519","1924","1","82","1,704,105.3","5,911,559.8",,,,"71.5","108.5","80.8","118.3","628.1","5.9","41.813268","-87.699299","POINT (-87.699299 41.813268)"
"2016","253995","(IL564) - Acorn Lofts","1017 W. Washington Blvd.","60607","Near West Side","Multifamily Housing","145,213","1920","1","85","3,416,391.2","2,842,840.9",,,,"43.1","94.4","44.9","94.9","780.7","5.4","41.8742951","-87.65018","POINT (-87.65018 41.8742951)"
"2016","251585","Bell Element-CPS","3730 N Oakley Ave","60618","NORTH CENTER","K-12 School","112,084","1917","1","65","2,859,198","7,278,837.1",,,,"90.5","148.3","100.5","158.9","913.6","8.2","41.9495009","-87.68665584","POINT (-87.68665584 41.9495009)"
"2016","251927","Plaza On Dewitt Condominium Association","260 E Chestnut St.","60611","NEAR NORTH SIDE","Multifamily Housing","428,547","1965","1","39","11,217,437.9","26,989,101",,,,"89.2","148.3","96.6","154.7","3,501.1","8.2","41.89868452","-87.61967438","POINT (-87.61967438 41.89868452)"
"2016","252079","UNO Roberto Clemente","2050 Natchez Ave.","60707","BELMONT CRAGIN","K-12 School","56,240","2012","1","80","2,655,480.4","2,245,994.9",,,,"87.2","190.2","90.1","191.9","608.8","10.8","41.9176291","-87.78774345","POINT (-87.78774345 41.9176291)"
"2016","119504","The Promenade Condominium Association","1201 W Adams","60607","NEAR WEST SIDE","Multifamily Housing","84,000","2001","1","20","4,229,361.7","4,269,609.2",,,,"101.2","211.5","104.6","212","1,006.3","12","41.87879651","-87.6574532","POINT (-87.6574532 41.87879651)"
"2016","224416","400 East Ohio Condominium Association","400 E Ohio Street","60611","NEAR NORTH SIDE","Multifamily Housing","285,156","1981","1","33","13,346,365.6","5,550,916.7",,,,"66.3","167.4","70.1","176.6","2,754.9","9.7","41.89285273","-87.61741095","POINT (-87.61741095 41.89285273)"
"2016","105921","1246 Pratt LLC","1246 W. Pratt Blvd.","60626","ROGERS PARK","Multifamily Housing","65,419","1934","1","79","1,314,810.8","4,771,698.9",,,,"93","139.7","98.9","145.9","495.8","7.6","42.01036185","-87.66829765","POINT (-87.66829765 42.01036185)"
"2016","251505","Hawthorne El-CPS","3319 N Clifton Ave","60657","LAKE VIEW","K-12 School","71,199","1954","1","87","1,320,791","3,447,451.4",,,,"67","109.1","74.8","117.3","426.6","6","41.94231102","-87.65755857","POINT (-87.65755857 41.94231102)"
"2016","251465","CoonleyJohn-CPS","4046 N Leavitt St","60618","NORTH CENTER","K-12 School","72,304","1893","1","19","2,508,456.3","4,100,377",,,,"91.4","168.5","100.9","180","680.2","9.4","41.95544107","-87.68400271","POINT (-87.68400271 41.95544107)"
"2016","106122","344-358 W. Oakdale Ave.","350 W. Oakdale Ave.","60657","LAKE VIEW","Multifamily Housing","108,991","1950","1","59","1,196,861.4","9,179,314.1",,,,"95.2","122.9","106.2","134.5","708.2","6.5","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2016","102337","Buena Shores","833 W.Buena Avenue","60613","UPTOWN","Multifamily Housing","185,358","1970","1","67","3,773,208","13,624,869.8",,,,"93.9","141.1","101.6","147.2","1,419.2","7.7","41.95402016","-87.6620278","POINT (-87.6620278 41.95402016)"
"2016","251512","Christopher-CPS","5042 S Artesian Ave","60632","GAGE PARK","K-12 School","76,800","1929","1","78","2,050,000.6","3,786,468.2",,,,"76","135.6","82.2","143.3","579","7.5","41.80176591","-87.68607021","POINT (-87.68607021 41.80176591)"
"2016","130758","The Regal","651 S. Wells","60607","LOOP","Multifamily Housing","99,552","1950","1","70","3,503,588.3",,,,,"35.2","110.5","36.9","115.9","645.8","6.5","41.87399385","-87.651678","POINT (-87.651678 41.87399385)"
"2016","251300","2020 Lincoln Park West Condominium Association","2020 N. Lincoln Park West","60614","LINCOLN PARK","Multifamily Housing","434,293","1972","1","41","9,617,383.9","33,028,919.2",,,,"98.2","149.4","104.4","153.8","3,527","8.1","41.91872919","-87.63690141","POINT (-87.63690141 41.91872919)"
"2016","252035","The Bristol Condominium Association","57 East Delaware Place","60611","NEAR NORTH SIDE","Multifamily Housing","490,146","1998","1","10","26,377,192.8","2,797,347.2",,,,"59.5","175","62.2","182.9","5,010.5","10.2","41.89891251","-87.6262335","POINT (-87.6262335 41.89891251)"
"2016","242605","850 Dewitt Place Condominiums","850 N Dewitt Place","60611","NEAR NORTH SIDE","Multifamily Housing","263,000","1957","1","71","4,035,713.6","17,392,204.6",,,,"81.5","117.6","88.7","123.4","1,667.7","6.3","41.89825692","-87.62073242","POINT (-87.62073242 41.89825692)"
"2016","254009","Maple Court Apartments","1120-1126 E. 47th Street","60615","Kenwood","Multifamily Housing","50,760","1915","1","15","445,419.5","6,823,299.8",,,,"143.2","168.7","156.9","183.1","444.5","8.8","41.8202295","-87.61187","POINT (-87.61187 41.8202295)"
"2016","100211","73 East Lake","73 E Lake St","60601","LOOP","Multifamily Housing","298,552","2014","1","27","12,480,031.5","15,143,041.8",,,,"92.5","184.5","97.2","189.5","3,104.7","10.4","41.885241","-87.62546943","POINT (-87.62546943 41.885241)"
"2016","173870","Coronado Apartments LLC","1061 W. Rosemont Ave.","60660","EDGEWATER","Multifamily Housing","80,500","1927","1","97","1,033,382.2","4,216,039.4",,,,"65.2","95.3","68.6","98.9","414.4","5.1","41.99090057","-87.66660744","POINT (-87.66660744 41.99090057)"
"2016","106109","Dearborn North","1117 n Dearborn","60610","NEAR NORTH SIDE","Multifamily Housing","83,916","1929","1","91","1,236,962.6","5,273,947.5",,,,"77.6","112.3","82.6","116.3","508.1","6.1","41.9037528","-87.63558845","POINT (-87.63558845 41.9037528)"
