"Building ID","Address","Zip","Cohort - Sector","Cohort - Size","Verification Year","Community Area Name","Community Area Number","Ward","Latitude","Longitude","Location"
"160427","5844 S Stony Island Ave","60637","Residential","> 250,000 Sq F","2027","Hyde Park","41","5","41.78849","-87.5871","(41.78849, -87.5871)"
"250044","10309 S Morgan St","60643","Municipal","> 50,000 Sq Ft","2025","Washington Heights","73","34","41.7066","-87.64706","(41.7066, -87.64706)"
"251679","3320 W Hirsch St","60651","Municipal","> 50,000 Sq Ft","2025","Humboldt Park","23","26","41.90669","-87.71051","(41.90669, -87.71051)"
"113487","1340  N Dearborn St","60610","Residential","> 50,000 Sq Ft","2025","Near North Side","8","2","41.90375","-87.63559","(41.90375, -87.63559)"
"256856","3444 N Elaine Pl","60657","Residential","> 50,000 Sq Ft","2025","Lake View","6","44","41.9397","-87.66901","(41.9397, -87.66901)"
"101918","205 W Randolph St","60606","Commercial","> 50,000 Sq Ft","2025","Loop","32","42","41.88411","-87.63418","(41.88411, -87.63418)"
"104263","444 454 W Melrose St","60657","Residential","> 50,000 Sq Ft","2025","Lake View","6","44","41.93985","-87.65845","(41.93985, -87.65845)"
"134965","176 W Washington St","60602","Commercial","> 50,000 Sq Ft","2025","Loop","32","42","41.88345","-87.63336","(41.88345, -87.63336)"
"254155","5700 North Harlem Avenue","60631","Commercial","> 50,000 Sq Ft","2025","Norwood Park","10","41","41.99993","-87.81741","(41.99993, -87.81741)"
"256678","14 N Peoria Street","60607","Residential","> 50,000 Sq Ft","2026","Near West Side","28","34","41.88119","-87.65437","(41.88119, -87.65437)"
"251658","1040 N Keeler Ave","60651","Municipal","> 50,000 Sq Ft","2027","Humboldt Park","23","37","41.9003","-87.73182","(41.9003, -87.73182)"
"251220","304 S State St","60604","Commercial","> 50,000 Sq Ft","2025","Loop","32","4","41.87795","-87.62805","(41.87795, -87.62805)"
"172707","4006 4016 N Austin Ave","60634","Residential","> 50,000 Sq Ft","2025","Portage Park","15","38","41.9453","-87.80187","(41.9453, -87.80187)"
"105391","6253  S Michigan Ave","60637","Residential","> 50,000 Sq Ft","2024","Washington Heights","73","20","41.78046","-87.60531","(41.78046, -87.60531)"
"173757","431  W Oakdale Ave","60657","Residential","> 50,000 Sq Ft","2025","Lake View","6","44","41.93985","-87.65845","(41.93985, -87.65845)"
"254361","201 N Garland Ct","60601","Residential","> 250,000 Sq F","2025","Loop","32","42","41.88582","-87.62537","(41.88582, -87.62537)"
"101567","53 W Jackson Blvd","60604","Commercial","> 250,000 Sq Ft","2027","Loop","32","4","41.87752","-87.62955","(41.87752, -87.62955)"
"256966","6445 W Strong Street","60656","Commercial","> 50,000 Sq Ft","2025","Norwood Park","10","41","41.97636","-87.80108","(41.97636, -87.80108)"
"257189","852-854 W. Sunnyside Ave","60640","Residential","> 50,000 Sq Ft","2025","Uptown","3","46","41.88323","-87.6324","(41.88323, -87.6324)"
"130442","210 N Green St","60607","Commercial","> 50,000 Sq Ft","2026","Near West Side","28","27","41.8863","-87.64919","(41.8863, -87.64919)"
"148904","3727 3741 N Milwaukee Ave","60641","Residential","> 50,000 Sq Ft","2025","Irving Park","16","45","41.94615","-87.74708","(41.94615, -87.74708)"
"102284","330 W Diversey Pkwy","60657","Residential","> 250,000 Sq F","2027","Lake View","6","44","41.93294","-87.63875","(41.93294, -87.63875)"
"252318","7600 N Bosworth","60626","Residential","> 50,000 Sq Ft","2025","Rogers Park","1","49","42.01945","-87.66951","(42.01945, -87.66951)"
"251669","3651 W Schubert Ave","60647","Municipal","> 50,000 Sq Ft","2025","Logan Square","22","35","41.92992","-87.71919","(41.92992, -87.71919)"
"251705","7025 S Princeton Ave","60621","Municipal","> 50,000 Sq Ft","2025","Greater Grand Crossing","69","6","41.76677","-87.63189","(41.76677, -87.63189)"
"103653","350 N Orleans St","60654","Commercial","> 250,000 Sq Ft","2026","Near North Side","8","42","41.88852","-87.63778","(41.88852, -87.63778)"
"158958","7531 S Stony Island Ave","60649","Commercial","> 250,000 Sq Ft","2025","South Shore","43","8","41.75764","-87.58518","(41.75764, -87.58518)"
"101703","1606  E 50th Pl","60615","Residential","> 50,000 Sq Ft","2025","Kenwood","39","5","41.80224","-87.60333","(41.80224, -87.60333)"
"251272","8331 S Stewart Ave","60620","Commercial","> 50,000 Sq Ft","2025","Chatham","44","21","41.7425","-87.63405","(41.7425, -87.63405)"
"173455","521 531 S Dearborn St","60605","Residential","> 50,000 Sq Ft","2025","Loop","32","4","41.86863","-87.62731","(41.86863, -87.62731)"
"174126","3454 - 3620 E 118th St","60617","Commercial","> 50,000 Sq Ft","2025","Hegewisch","55","10","41.68095","-87.53555","(41.68095, -87.53555)"
"251914","838 W Marquette Rd","60621","Municipal","> 50,000 Sq Ft","2025","Englewood","68","6","41.77278","-87.64643","(41.77278, -87.64643)"
"260088","5839  S Harlem Ave","60638","Commercial","> 50,000 Sq Ft","2025","Garfield Ridge","56","23","41.78388","-87.78156","(41.78388, -87.78156)"
"251420","5516 S Maplewood Ave","60629","Municipal","> 50,000 Sq Ft","2025","Gage Park","63","15","41.7933","-87.68838","(41.7933, -87.68838)"
"172394","26 N Halsted St","60661","Commercial","> 50,000 Sq Ft","2027","Near West Side","28","27","41.88261","-87.64773","(41.88261, -87.64773)"
"252039","5604 - 5620 S Ellis Ave","60637","Commercial","> 50,000 Sq Ft","2027","Hyde Park","41","5","41.79304","-87.60136","(41.79304, -87.60136)"
"164965","2653 W Ogden Ave","60608","Commercial","> 50,000 Sq Ft","2025","North Lawndale","29","28","41.86174","-87.69294","(41.86174, -87.69294)"
"254327","3125 W Fullerton","60647","Residential","> 50,000 Sq Ft","2025","Logan Square","22","32","41.91724","-87.6849","(41.91724, -87.6849)"
"100211","73 E Lake St","60601","Residential","> 250,000 Sq F","2027","Loop","32","42","41.88524","-87.62547","(41.88524, -87.62547)"
"251411","834 E 50th St","60615","Municipal","> 50,000 Sq Ft","2025","Kenwood","39","4","41.80456","-87.60536","(41.80456, -87.60536)"
"157158","2800 S Ashland Ave","60608","Commercial","> 250,000 Sq Ft","2027","Lower West Side","31","25","41.84193","-87.66808","(41.84193, -87.66808)"
"173857","5230 5244 N Sheridan Rd","60640","Residential","> 50,000 Sq Ft","2025","Edgewater","77","48","41.97223","-87.6646","(41.97223, -87.6646)"
"251486","7831 S Prairie Ave","60619","Municipal","> 50,000 Sq Ft","2025","Greater Grand Crossing","69","6","41.75228","-87.61759","(41.75228, -87.61759)"
"251558","3525 S. Honroe","60609","Municipal","> 50,000 Sq Ft","2025","McKinley Park","59","12","41.8297","-87.67124","(41.8297, -87.67124)"
"159411","1130 S Michigan Ave","60605","Residential","> 250,000 Sq F","2025","Loop","32","4","41.8685","-87.6247","(41.8685, -87.6247)"
"122005","5320 S Pulaski Rd","60632","Commercial","> 50,000 Sq Ft","2026","West Elsdon","62","23","41.79586","-87.72503","(41.79586, -87.72503)"
"251230","1448 N Lake Shore Dr","60610","Residential","> 50,000 Sq Ft","2025","Near North Side","8","43","41.90933","-87.62655","(41.90933, -87.62655)"
"256777","939 W Washington Blvd","60607","Residential","> 250,000 Sq F","2025","Near West Side","28","25","41.88321","-87.65877","(41.88321, -87.65877)"
"160279","151 - 155 N Michigan Ave","60601","Residential","> 250,000 Sq F","2027","Loop","32","42","41.88468","-87.62412","(41.88468, -87.62412)"
"158874","5800 S Stony Island Ave","60637","Commercial","> 50,000 Sq Ft","2027","Hyde Park","41","5","41.78956","-87.58709","(41.78956, -87.58709)"
