Compliance Status,Data Year,Evanston Building ID,Property Name,Address 1,Postal Code,Primary Property Type - Self Selected,Property GFA - Self-Reported (ft²),Property Type,Year Built,Number of Buildings,ENERGY STAR Score,ENERGY STAR Certification - Year(s) Certified,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),Green Power - Onsite (kWh),Green Power - Offsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Water Score (Multifamily Only),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Total GHG Emissions (Kg CO2e),GHG Intensity (kg CO2e/sq ft),GHG Emissions Notes,ObjectId
Compliant,2019,106517,Sherman Terrace Condominium,2001 Sherman Avenue,60201,Multifamily Housing,53645,Type 2,1962,1,97,2018,2123155,4499367,39.6,83.9,2076664,4372274,38.7,81.5,380180,380180,8260,Not Available,367070,"8,242",Not Available,0,Not Available,96,888,16.56,253296,4.7,,258
Compliant,2019,106600,8655,2332 Campus Dr,60208,Residence Hall/Dormitory,59576,Type 2,2002,1,53,Not Available,8881066,10777635,149.1,180.9,8881066,10777635,149.1,180.9,243262,243262,80511,Not Available,243262,"80,511",Not Available,0,Not Available,Not Available,5997,100.65,561630,9.4,,259
Compliant,2019,106665,8844,2020 Ridge Ave,60208,Office,112496,Type 1,1925,1,1,Not Available,36382802,92610072,323.4,823.2,36352240,92577982,323.1,822.9,9112063,9112062,52924,Not Available,9112062,"52,619",Not Available,0,Not Available,Not Available,577,5.13,5300531,47.1,,260
Compliant,2019,106685,8831,40 Arts Circle Dr,60608,Museum,21464,Type 3,2000,1,Not Available,Not Available,,,,,,,,,,,,Not Available,,Not Available,Not Available,,Not Available,Not Available,,,0,0,Natural gas and electricity use included in parent property,261
Compliant,2019,106748,St. Francis Courts Condominium,356 Ridge,60202,Multifamily Housing,106748,Type 1,1925,1,64,Not Available,9264756,10459418,86.8,98,8954015,10114344,83.9,94.7,122496,122496,88468,Not Available,119348,"85,468",Not Available,0,Not Available,83,2568,24.06,537371,5,,262
Compliant,2019,106914,Lorraine H. Morton Civic Center,2100 Ridge Ave.,60201,Office,118991,Type 1,1914,1,77,Not Available,8447954,14861708,71,124.9,8214949,14610914,69,122.8,1003409,1003409,50243,Not Available,1002381,"47,948",Not Available,0,Not Available,Not Available,1267,10.65,819597,6.9,,263
Compliant,2019,106997,Fire Station #2,702 Madison St.,60202,Fire Station,18189,Type 3,1954,1,Not Available,Not Available,1955407,3146333,107.5,173,1933159,3101573,106.3,170.5,183077,183077,13307,Not Available,179494,"13,207",Not Available,0,Not Available,Not Available,242,13.28,171531,9.4,,264
Compliant,2019,107100,1007 Davis St,1007-1013 Davis St,60201,Multifamily Housing,23320,Type 3,1925,1,2,Not Available,3509336,4565453,150.5,195.8,3473136,4527444,148.9,194.1,147488,147488,30061,Not Available,147488,"29,699",Not Available,0,Not Available,5,1677,71.89,240912,10.3,,265
Compliant,2019,107246,Fire Station #3,1105 Central St.,60201,Fire Station,10728,Type 3,2002,1,Not Available,Not Available,2533770,4071406,236.2,379.5,2489485,4024907,232.1,375.2,236300,236300,17275,Not Available,236300,"16,832",Not Available,0,Not Available,Not Available,242,22.52,221923,20.7,,266
Compliant,2019,107430,8650,2420 Campus Dr,60608,Residence Hall/Dormitory,57548,Type 2,1999,1,45,Not Available,10203550,11907869,177.3,206.9,10202379,11906639,177.3,206.9,199990,199990,95212,Not Available,199990,"95,200",Not Available,0,Not Available,Not Available,2063,35.84,615878,10.7,,267
Compliant,2019,107431,8728,60 Arts Circle Dr,60208,College/University,52457,Type 2,1977,1,Not Available,Not Available,7400722,8922452,141.1,170.1,7400722,8922452,141.1,170.1,192881,192881,67426,Not Available,192881,"67,426",Not Available,0,Not Available,Not Available,174,3.31,464380,8.9,,268
Compliant,2019,107495,8567,1820 Chicago Ave,60201,Residence Hall/Dormitory,99391,Type 2,1960,1,76,Not Available,8577705,12512649,86.3,125.9,8577705,12512649,86.3,125.9,587181,587181,65742,Not Available,587181,"65,742",Not Available,0,Not Available,Not Available,5254,52.86,672639,6.8,,269
Compliant,2019,107678,8588,1838 Chicago Ave,60201,Residence Hall/Dormitory,29315,Type 3,1993,1,42,Not Available,4282773,5949370,146.1,202.9,4269133,5935048,145.6,202.5,243252,243252,34528,Not Available,243252,"34,392",Not Available,0,Not Available,Not Available,1048,35.75,317390,10.8,,270
Compliant,2019,100016,E2 Apartments,1890 Maple Ave,60201,Multifamily Housing,307000,Type 1,2015,1,92,Not Available,16206787,31767608,52.8,103.5,16206787,31767608,52.8,103.5,2470354,2470353,77779,Not Available,2470353,"77,779",Not Available,0,Not Available,79,9547,31.1,1773928,5.8,,271
Compliant,2019,100042,2201-2207 Maple Ave,2201-2207 Maple Ave,60201,Multifamily Housing,42650,Type 3,1927,1,86,Not Available,2900174,3108334,68,72.9,2822971,3027139,66.2,71,10576,10576,28641,Not Available,10554,"27,870",Not Available,0,Not Available,35,1135,26.6,157951,3.7,,272
Compliant,2019,100043,COMMONS OF EVANSTON HOMEOWNERS' ASSOCIATION,830-888 Forest Ave,60202,Multifamily Housing,121700,Type 1,1976,1,93,Not Available,4043245,9034214,33.2,74.2,3953491,8789080,32.5,72.2,802011,802011,13068,Not Available,776740,"13,033",Not Available,0,Not Available,93,2418,19.87,511201,4.2,,273
Compliant,2019,100292,(IL321) - Raymond Park Building Corp,1501 Hinman/425 Grove,60201,Multifamily Housing,100104,Type 1,1929,1,95,Not Available,7594250,8842516,75.9,88.3,7499832,8743378,74.9,87.3,145462,145462,70979,Not Available,145462,"70,035",Not Available,0,Not Available,97,1846,18.44,457132,4.6,,274
